max_abs_dV,exact_ln_ratio,lower,upper,first_order,force_rmse
6.000000000000000000e+00,-1.992925478364267589e+00,-2.242538867830150551e+00,4.627961625078271801e-01,3.416968503523893919e-01,1.056813272838636841e+01
6.000000000000000000e+00,-2.495865367225312159e+00,-2.698262818677160446e+00,-9.198067650149537311e-01,-3.877399719560590263e-01,1.902257905631336854e+01
6.000000000000000000e+00,-9.064006168831406640e-01,-1.224122384754789961e+00,9.291788618760710161e-01,2.692258472079981368e-01,1.123433536350279915e+01
6.000000000000000000e+00,-4.859445737063102649e-02,-6.699209912131283140e-01,-2.055177905533682459e-02,-6.679417157020434148e-02,7.665010101129419162e+00
6.000000000000000000e+00,-5.849580248934160842e-01,-1.663591466403621766e+00,2.757602229559387164e-01,5.725000104322844896e-01,1.418694895341073980e+01
6.000000000000000000e+00,-1.333481798415369068e-01,-7.651585959408737647e-01,7.809922071498485163e-01,1.210230530304228225e-01,1.022878261855459137e+01
6.000000000000000000e+00,-3.180268023523104282e-02,-1.131780282307245589e+00,2.491949606079867929e-01,5.065817954121855093e-01,1.827691924958844893e+01
6.000000000000000000e+00,-5.975514530011603875e-02,-7.858376440289146503e-01,5.117693237346392365e-01,2.724563271998462488e-01,1.294240828854991143e+01
6.000000000000000000e+00,-9.333294214781802101e-01,-2.353991245834725632e+00,4.855213570099774500e-01,1.593445105024254571e-01,1.309203958774644150e+01
6.000000000000000000e+00,-4.516107813320170972e-01,-2.383678727712680079e+00,-1.579274832851162436e-01,-3.797957811534236061e-01,1.136550258520073164e+01
6.000000000000000000e+00,-1.598032725910946139e+00,-1.762303320481311220e+00,-5.335944023968095529e-01,-2.749336591108412220e-01,1.117562153825949167e+01
6.000000000000000000e+00,-1.710150040348578093e+00,-2.627758602093052342e+00,-1.111230208712242096e+00,-5.580631311412582729e-01,1.355111314723393434e+01
6.000000000000000000e+00,-1.131340043570575604e+00,-1.229938052467690834e+00,4.019796219803677406e-01,2.164624584123568951e-01,1.484909967321787150e+01
6.000000000000000000e+00,-2.872565887585505351e-01,-1.683866295958379444e+00,-1.714120638192124790e-01,-3.310613104183497413e-01,9.002987925907168787e+00
6.000000000000000000e+00,-1.221877521247880516e+00,-2.324068727196670903e+00,8.851931101344867603e-01,1.733139527720930495e-01,1.239857146847475811e+01
