exact_ln_ratio,signed_pred_true_phi,squared_Ldyn_over_lambda,force_rmse,signed_pred_model_phi,max_abs_dV
-8.998009186769202750e-02,-6.632977581517315868e-02,1.580651165670664398e+02,9.999999999999999167e-02,-1.121947678865273801e-01,4.229456158170406543e-01
-1.695326674950026549e-02,-1.708854609832236374e-02,1.600823636980571285e+00,1.000000000000000056e-01,-1.681756927772659269e-02,5.054751426122355840e-02
-1.504550396344091732e-02,-1.514596517845607886e-02,2.026260407347059367e+00,1.000000000000000056e-01,-1.494403259575839867e-02,6.813354652956944701e-02
5.060580906546769536e-02,4.935392315416268355e-02,3.700778209274580011e+00,1.000000000000000194e-01,5.185628931500389088e-02,7.337012133179270090e-02
3.803698534665588687e-02,3.838051169868134105e-02,1.932686720378332268e+01,1.000000000000000056e-01,3.769122745407122582e-02,6.118193033513871781e-02
-1.338386508299116706e-01,-1.320752739792273867e-01,4.187709887839508838e+01,9.999999999999997780e-02,-1.355302116186337669e-01,1.893988775995784635e-01
5.813874331842232488e-06,1.273685629251812013e-05,1.641927778836680618e+00,9.999999999999999167e-02,-1.220480362569581929e-06,1.535472288620530479e-02
-8.001006839279437791e-04,-7.398386600478673147e-04,1.248023700751904919e+01,9.999999999999997780e-02,-8.600107935343169517e-04,1.369664002255624735e-01
-2.964754144914521355e-02,-2.954110707619384338e-02,6.042514686103426236e+00,9.999999999999997780e-02,-2.975436264545480713e-02,5.312660793729044595e-02
1.027640060627838942e-01,1.038604559030405217e-01,3.993233559174088043e+01,1.000000000000000056e-01,1.016403762825800888e-01,1.401703609740457546e-01
-8.157382150675225249e-03,-8.129397088919089118e-03,2.211797908437427573e-01,9.999999999999999167e-02,-8.185368653778181056e-03,2.981049966047523425e-02
-1.729413708601699670e-02,-1.728992202090432612e-02,7.326308066631773919e+00,1.000000000000000056e-01,-1.729934419820612634e-02,7.360891438945774135e-02
6.617393222677854514e-02,7.695992551161130735e-02,2.103404063932164831e+02,1.000000000000000056e-01,5.479016780945839687e-02,3.441906683982816073e-01
1.528552558878407408e-01,1.530526057623779190e-01,1.334193329677025019e+01,9.999999999999999167e-02,1.526547893706960701e-01,1.881702981123190288e-01
3.900683258360962565e-04,4.220629772850991585e-04,7.800978157232121291e+00,9.999999999999999167e-02,3.577204951539331114e-04,3.276250235640965069e-02
-4.013989119745117393e-03,-3.974587153772034080e-03,1.327593031847767335e+01,1.000000000000000056e-01,-4.054507842584671035e-03,1.956434607052598765e-02
1.832561730957774082e-02,1.821292982180587258e-02,8.042390397304486349e-01,1.000000000000000056e-01,1.843697616202979311e-02,6.541321358273685660e-02
-2.403166038937855960e-03,-2.376238333535260743e-03,2.631534113479946230e-02,9.999999999999997780e-02,-2.430628655156289678e-03,2.333150946969129308e-02
6.615161871210227919e-04,5.647716207191405199e-04,5.187680401773651973e+00,9.999999999999997780e-02,7.576870225961698877e-04,4.353347969404620238e-02
7.456097414859906569e-02,7.463100789368470878e-02,1.025950678002574001e+01,1.000000000000000056e-01,7.449016012165037004e-02,1.120761163393990817e-01
1.191962012696597406e-01,1.186376594569147902e-01,1.636414003382414251e+01,1.000000000000000056e-01,1.197516836117545891e-01,1.066522908443651441e-01
1.700225559072377282e-02,1.704375752268554381e-02,1.660241664580515319e+01,1.000000000000000056e-01,1.695595188710547971e-02,1.039698384415571747e-01
2.176492962529056815e-02,2.152616589127683347e-02,1.877656516348905846e+00,1.000000000000000056e-01,2.200155469262083524e-02,5.905467098980998059e-02
1.295574880595918785e-02,1.292396421910576611e-02,1.031504993324143804e+01,1.000000000000000056e-01,1.298618203155970340e-02,4.027504915098649441e-02
