B,eps_target,eps_hat,ln_nu_ratio,h,bound,h_over_bound,lin_ratio
12,0.1,0.100304,0.00013478,9.08362e-09,39.2191,2.31612e-10,1.52181e-05
12,0.1,0.0989416,0.0780298,0.00320742,38.1606,8.40505e-05,0.00893177
12,0.1,0.100002,-0.0255365,0.000320557,38.9828,8.22304e-06,0.00289207
12,0.1,0.0999852,-0.000121213,7.34575e-09,38.9699,1.88498e-10,1.373e-05
12,0.1,0.101156,-0.0397146,0.000768052,39.8878,1.92553e-05,0.00444647
12,0.1,0.0997675,0.0253148,0.000325879,38.8003,8.39888e-06,0.0028737
12,0.1,0.0999923,0.00023676,2.80321e-08,38.9754,7.19226e-10,2.68163e-05
12,0.1,0.100097,0.00125303,7.85701e-07,39.0569,2.01168e-08,0.000141775
12,0.1,0.100343,0.00801357,3.22807e-05,39.2496,8.22447e-07,0.000904469
12,0.1,0.100423,-0.0299737,0.000440336,39.3122,1.1201e-05,0.00338035
12,0.1,0.10289,-0.0517433,0.00129339,41.2669,3.13421e-05,0.00569558
12,0.1,0.0991015,0.0680268,0.00242148,38.2841,6.32504e-05,0.0077742
12,0.1,0.100286,-0.0306141,0.000459157,39.2046,1.17118e-05,0.00345731
12,0.1,0.0999154,0.00188704,1.7827e-06,38.9155,4.58096e-08,0.000213897
12,0.1,0.0989742,0.0346022,0.000612645,38.1858,1.60438e-05,0.00395947
12,0.1,0.100121,-0.00357219,6.36509e-06,39.0756,1.62892e-07,0.00040408
12,0.1,0.100487,0.00145126,1.0541e-06,39.3624,2.67794e-08,0.000163565
12,0.1,0.101102,0.0165372,0.000138257,39.8455,3.46982e-06,0.0018525
12,0.1,0.0987334,0.124552,0.0084318,38.0002,0.000221888,0.0142871
12,0.1,0.10018,-0.0147355,0.000107506,39.1221,2.74796e-06,0.00166586
12,0.1,0.0994206,-0.0165011,0.000134655,38.531,3.49471e-06,0.00187972
12,0.1,0.100133,0.00977803,4.81177e-05,39.0852,1.2311e-06,0.00110594
12,0.1,0.0999716,0.00199655,1.99576e-06,38.9593,5.12269e-08,0.000226183
12,0.1,0.0989024,-0.146873,0.00978576,38.1304,0.000256639,0.0168187
12,0.1,0.1074,0.0116675,6.85968e-05,44.9642,1.52559e-06,0.00123035
12,0.1,0.100936,-0.0204901,0.000207076,39.7148,5.21409e-06,0.00229907
