exact,lower,upper,var_nu
4.512582218129426725e-02,4.512476287722382018e-02,4.521052354722955580e-02,8.575929044955363960e-05
-3.816265015636431494e-03,-3.816092521090662902e-03,-2.884958610567375705e-03,9.311916598241478434e-04
3.285169438797437731e-03,3.285016104716365331e-03,3.285016126295654901e-03,2.157768658163234825e-11
-2.028888635016952782e-02,-2.028965149218367459e-02,-1.967566748998756873e-02,6.136084039269340800e-04
3.230287285903123314e-03,3.229842140749925299e-03,3.229842162112056114e-03,2.136047665252698180e-11
-2.808489655040987201e-02,-2.808465624768895219e-02,-2.776817408418288252e-02,3.164878427222084841e-04
1.557440634477705180e-03,1.556874629216937643e-03,1.556878801937701395e-03,4.172706039712010759e-09
6.119457994855725252e-02,6.119404125871986261e-02,6.163911583575174685e-02,4.450816603799429526e-04
-5.194221662358251834e-02,-5.194153211536606252e-02,-5.082082409740933115e-02,1.120830891192022049e-03
1.427998587497062988e-01,1.427975182764988360e-01,1.430160220872953303e-01,2.184767372522132176e-04
4.637397035634255316e-02,4.637273201893782337e-02,4.677816536999485075e-02,4.054187401521258411e-04
5.765303595822416499e-02,5.765185982933512115e-02,5.809526583360689889e-02,4.433660422296946185e-04
-5.295806047841655241e-03,-5.295872610831283203e-03,-5.291520730262585723e-03,4.351882044373035301e-06
1.417332540281502739e-04,1.413556314687701952e-04,1.669109056024078823e-04,2.555468536571389170e-05
7.820588079221511835e-02,7.820387948834339742e-02,7.911449400672226906e-02,9.103167892109350918e-04
-2.552247017029746559e-02,-2.552256671041105984e-02,-2.531443081476855705e-02,2.081398450549749510e-04
-1.211968144649422493e-04,-1.211751696974356870e-04,-1.211556100798905246e-04,1.955941768251891000e-08
-3.775722185101931805e-02,-3.775693078252265189e-02,-3.682378663425833060e-02,9.331523546830802415e-04
2.566422156226828497e-02,2.566357876336734789e-02,2.572378499559942883e-02,6.020478957721736449e-05
2.368169788494847478e-04,2.368703273789901013e-04,2.396509133977396840e-04,2.780585657751301774e-06
1.255093775959172011e-03,1.254894373409071347e-03,1.255044167326190311e-03,1.497938825171123635e-07
8.097490434299739123e-03,8.096915181511989135e-03,8.289683266644115589e-03,1.927667469577237325e-04
-2.978893657036700213e-02,-2.978926457395005695e-02,-2.934027981887300102e-02,4.490064367942335445e-04
-4.824388435447177909e-02,-4.824376057956821645e-02,-4.821871951115932337e-02,2.503983674526809032e-05
6.912677375266626512e-02,6.912572425520921438e-02,7.007281605697084081e-02,9.470345341569126303e-04
-3.042044484394807943e-02,-3.041998059114493780e-02,-3.015309065053341231e-02,2.668961147432764858e-04
1.890641716419320332e-03,1.890178612459334937e-03,1.890907661934758139e-03,7.290493772384179603e-07
3.534130657740699316e-02,3.534112270754618396e-02,3.548851554930621682e-02,1.473908300162103408e-04
-3.571327087624238169e-03,-3.571445434611133889e-03,-3.354429873513184012e-03,2.170204107874613986e-04
1.451265960646668093e-03,1.451208505871156434e-03,1.659277735947747856e-03,2.080576855224583964e-04
1.674382492714155887e-02,1.674269028436820711e-02,1.710320184334572849e-02,3.604567908349824538e-04
1.273353806341672445e-01,1.273332302342894962e-01,1.280307550233976688e-01,6.973476649149554143e-04
-1.434477497279898484e-02,-1.434476463445561595e-02,-1.429493457682174187e-02,4.982886006407683340e-05
-1.544238666005142563e-02,-1.544263233560599219e-02,-1.542985966642430179e-02,1.277245613521505395e-05
9.835336303467655597e-03,9.834924596565862778e-03,1.011660043744757979e-02,2.816732252549064954e-04
1.998780732833820017e-03,1.998453658843296621e-03,2.000564433529529798e-03,2.110764254278216768e-06
-1.468685325895456029e-01,-1.468669564022170304e-01,-1.422161500622546593e-01,4.652519889285549638e-03
1.166791148978896242e-02,1.166794541531591782e-02,1.412242920047181334e-02,2.437068450236803269e-03
