x,V,nu
-5.343562374916612789e-01,4.083663730449105245e+00,8.687109460458068699e-02
-5.319546364242830894e-01,4.112990370343362123e+00,8.947844420270988086e-02
-5.295530353569046778e-01,4.142289127867615051e+00,9.216081479590540471e-02
-5.271514342895264882e-01,4.171558591469557875e+00,9.492015076179963207e-02
-5.247498332221482986e-01,4.200797355984008163e+00,9.775843631996466998e-02
-5.223482321547698870e-01,4.230004022632894767e+00,1.006776958777797215e-01
-5.199466310873916974e-01,4.259177199025258709e+00,1.036799943568185167e-01
-5.175450300200135079e-01,4.288315499157256738e+00,1.067674374996439440e-01
-5.151434289526353183e-01,4.317417543412164882e+00,1.099421721535609880e-01
-5.127418278852569067e-01,4.346481958560371339e+00,1.132063865316018381e-01
-5.103402268178787171e-01,4.375507377759370264e+00,1.165623104492012202e-01
-5.079386257505005275e-01,4.404492440553782195e+00,1.200122155350015485e-01
-5.055370246831221159e-01,4.433435792875337178e+00,1.235584154141300545e-01
-5.031354236157439264e-01,4.462336087042877431e+00,1.272032658628599322e-01
-5.007338225483657368e-01,4.491191981762363561e+00,1.309491649330029317e-01
-4.983322214809875472e-01,4.520002142126868350e+00,1.347985530452426584e-01
-4.959306204136091356e-01,4.548765239616582967e+00,1.387539130491126649e-01
-4.935290193462309460e-01,4.577479952098806315e+00,1.428177702479609679e-01
-4.911274182788527565e-01,4.606144963827956573e+00,1.469926923883161096e-01
-4.887258172114743449e-01,4.634758965445566758e+00,1.512812896109365368e-01
-4.863242161440961553e-01,4.663320653980279396e+00,1.556862143621792205e-01
-4.839226150767179657e-01,4.691828732847855399e+00,1.602101612665140506e-01
-4.815210140093397762e-01,4.720281911851172296e+00,1.648558669533239096e-01
-4.791194129419613645e-01,4.748678907180221564e+00,1.696261098410723478e-01
-4.767178118745831750e-01,4.777018441412100636e+00,1.745237098760297201e-01
-4.743162108072049854e-01,4.805299243511031548e+00,1.795515282216901820e-01
-4.719146097398265738e-01,4.833520048828346738e+00,1.847124669008189668e-01
-4.695130086724483842e-01,4.861679599102493476e+00,1.900094683842036003e-01
-4.671114076050701946e-01,4.889776642459033873e+00,1.954455151281516978e-01
-4.647098065376920051e-01,4.917809933410642209e+00,2.010236290573289841e-01
-4.623082054703135935e-01,4.945778232857115597e+00,2.067468709905459223e-01
-4.599066044029354039e-01,4.973680308085350887e+00,2.126183400089645958e-01
-4.575050033355572143e-01,5.001514932769372201e+00,2.186411727648762127e-01
-4.551034022681788027e-01,5.029280886970315834e+00,2.248185427286739368e-01
-4.527018012008006131e-01,5.056976957136425810e+00,2.311536593721211230e-01
-4.503002001334224236e-01,5.084601936103065434e+00,2.376497672881360546e-01
-4.478985990660442340e-01,5.112154623092716399e+00,2.443101452428270148e-01
