x,V,nu
-9.138092061374250008e-01,2.176752376872206629e-01,8.884476035180798037e-04
-9.114076050700468112e-01,2.293979278670464916e-01,9.144017452009038215e-04
-9.090060040026685106e-01,2.413959894852874266e-01,9.410501847969121722e-04
-9.066044029352903211e-01,2.536670018255537951e-01,9.684121760485386865e-04
-9.042028018679120205e-01,2.662085505585728984e-01,9.965075883955380135e-04
-9.018012008005338309e-01,2.790182277421852652e-01,1.025356927509045316e-03
-8.993995997331555303e-01,2.920936318213465110e-01,1.054981357388741839e-03
-8.969979986657772297e-01,3.054323676281261446e-01,1.085402722289065649e-03
-8.945963975983990402e-01,3.190320463817080676e-01,1.116643569308622009e-03
-8.921947965310207396e-01,3.328902856883920736e-01,1.148727172321545916e-03
-8.897931954636425500e-01,3.470047095415900174e-01,1.181677556503915550e-03
-8.873915943962642494e-01,3.613729483218310334e-01,1.215519523082431294e-03
-8.849899933288860598e-01,3.759926387967558181e-01,1.250278675959651167e-03
-8.825883922615077593e-01,3.908614241211229579e-01,1.285981448191678275e-03
-8.801867911941295697e-01,4.059769538368013242e-01,1.322655129329651210e-03
-8.777851901267512691e-01,4.213368838727789001e-01,1.360327894763422142e-03
-8.753835890593729685e-01,4.369388765451546197e-01,1.399028834637707115e-03
-8.729819879919947789e-01,4.527806005571422543e-01,1.438787984013342996e-03
-8.705803869246164783e-01,4.688597309990730211e-01,1.479636355004281499e-03
-8.681787858572382888e-01,4.851739493483878118e-01,1.521605968627138226e-03
-8.657771847898599882e-01,5.017209434696473513e-01,1.564729888367329298e-03
-8.633755837224817986e-01,5.184984076145219278e-01,1.609042254426080445e-03
-8.609739826551034980e-01,5.355040424218003858e-01,1.654578319662544563e-03
-8.585723815877253084e-01,5.527355549173823546e-01,1.701374486553877121e-03
-8.561707805203470079e-01,5.701906585142856310e-01,1.749468344159939379e-03
-8.537691794529687073e-01,5.878670730126401844e-01,1.798898707312982653e-03
-8.513675783855905177e-01,6.057625245996896002e-01,1.849705657740170154e-03
-8.489659773182122171e-01,6.238747458497946319e-01,1.901930585347239022e-03
-8.465643762508340275e-01,6.422014757244282057e-01,1.955616230602705199e-03
-8.441627751834557269e-01,6.607404595721806384e-01,2.010806728921445737e-03
-8.417611741160775374e-01,6.794894491287519767e-01,2.067547656885441749e-03
-8.393595730486992368e-01,6.984462025169617672e-01,2.125886079031727785e-03
-8.369579719813209362e-01,7.176084842467416181e-01,2.185870595857891587e-03
-8.345563709139427466e-01,7.369740652151360871e-01,2.247551394982998975e-03
-8.321547698465644460e-01,7.565407227063080109e-01,2.310980302066908618e-03
-8.297531687791862565e-01,7.763062403915306220e-01,2.376210833871263400e-03
-8.273515677118079559e-01,7.962684083291963200e-01,2.443298254323830656e-03
-8.249499666444297663e-01,8.164250229648059021e-01,2.512299630293876075e-03
-8.225483655770514657e-01,8.367738871309816640e-01,2.583273889646723991e-03
-8.201467645096731651e-01,8.573128100474548541e-01,2.656281882849397240e-03
-8.177451634422949756e-01,8.780396073210720020e-01,2.731386443990371088e-03
-8.153435623749166750e-01,8.989521009457976941e-01,2.808652455103072439e-03
-8.129419613075384854e-01,9.200481193027066906e-01,2.888146912887001958e-03
-8.105403602401601848e-01,9.413254971599913645e-01,2.969938995495169029e-03
-8.081387591727819952e-01,9.627820756729559282e-01,3.054100133824384430e-03
-8.057371581054036946e-01,9.844157023840223175e-01,3.140704083024763518e-03
-8.033355570380255051e-01,1.006224231222722754e+00,3.229826997450479728e-03
-8.009339559706472045e-01,1.028205522505708513e+00,3.321547508282964110e-03
-7.985323549032690149e-01,1.050357442936741492e+00,3.415946800784732361e-03
-7.961307538358906033e-01,1.072677865606701975e+00,3.513108696926011722e-03
-7.937291527685124137e-01,1.095164669993578643e+00,3.613119739664356379e-03
-7.913275517011342242e-01,1.117815741962480125e+00,3.716069279604026360e-03
-7.889259506337560346e-01,1.140628973765628329e+00,3.822049563934598777e-03
-7.865243495663776230e-01,1.163602264042361556e+00,3.931155826910330553e-03
-7.841227484989994334e-01,1.186733517819125616e+00,4.043486386026510886e-03
-7.817211474316212438e-01,1.210020646509486486e+00,4.159142739302364340e-03
-7.793195463642428322e-01,1.233461567914127865e+00,4.278229665237963386e-03
-7.769179452968646427e-01,1.257054206220836967e+00,4.400855325678185333e-03
-7.745163442294864531e-01,1.280796492004525389e+00,4.527131372630757190e-03
-7.721147431621082635e-01,1.304686362227216456e+00,4.657173057489253504e-03
-7.697131420947298519e-01,1.328721760238048555e+00,4.791099343398720102e-03
-7.673115410273516623e-01,1.352900635773268911e+00,4.929033021814431537e-03
-7.649099399599734728e-01,1.377220944956246917e+00,5.071100830568668789e-03
-7.625083388925950612e-01,1.401680650297465691e+00,5.217433577236240197e-03
-7.601067378252168716e-01,1.426277720694514528e+00,5.368166265590093925e-03
-7.577051367578386820e-01,1.451010131432106665e+00,5.523438224807481096e-03
-7.553035356904604924e-01,1.475875864182065067e+00,5.683393242775270499e-03
-7.529019346230820808e-01,1.500872907003331758e+00,5.848179703685964757e-03
-7.505003335557038913e-01,1.525999254341954714e+00,6.017950729244647516e-03
-7.480987324883257017e-01,1.551252907031104522e+00,6.192864323406000078e-03
-7.456971314209475121e-01,1.576631872291061942e+00,6.373083521564411325e-03
-7.432955303535691005e-01,1.602134163729227012e+00,6.558776543728424800e-03
-7.408939292861909109e-01,1.627757801340105503e+00,6.750116951597883407e-03
-7.384923282188127214e-01,1.653500811505325574e+00,6.947283810557743598e-03
-7.360907271514343098e-01,1.679361226993629108e+00,7.150461856073710501e-03
-7.336891260840561202e-01,1.705337086960865944e+00,7.359841663789711344e-03
-7.312875250166779306e-01,1.731426436950007419e+00,7.575619824824917151e-03
-7.288859239492997411e-01,1.757627328891137930e+00,7.797999125751318115e-03
-7.264843228819213294e-01,1.783937821101456933e+00,8.027188733123294048e-03
-7.240827218145431399e-01,1.810355978285272061e+00,8.263404382960262695e-03
-7.216811207471649503e-01,1.836879871534012443e+00,8.506868575009747177e-03
-7.192795196797865387e-01,1.863507578326221825e+00,8.757810772326816637e-03
-7.168779186124083491e-01,1.890237182527552129e+00,9.016467605998487733e-03
-7.144763175450301596e-01,1.917066774390774553e+00,9.283083084750240813e-03
-7.120747164776519700e-01,1.943994450555775133e+00,9.557908810150063730e-03
-7.096731154102735584e-01,1.971018314049555409e+00,9.841204197016024252e-03
-7.072715143428953688e-01,1.998136474286223763e+00,1.013323669974654749e-02
-7.048699132755171792e-01,2.025347047067011186e+00,1.043428204359939451e-02
-7.024683122081387676e-01,2.052648154580263284e+00,1.074462446293727308e-02
-7.000667111407605780e-01,2.080037925401431842e+00,1.106455694332145710e-02
-6.976651100733823885e-01,2.107514494493089696e+00,1.139438146982732318e-02
