s,eta,winding,error
0.07,0.5,0,-0.16901331540606618
0.07,0.515625,0,-0.16819947009634778
0.07,0.53125,0,-0.16576577194241823
0.07,0.546875,0,-0.1617356587878947
0.07,0.5625,0,-0.1561479428255391
0.07,0.578125,0,-0.1490564368146252
0.07,0.59375,0,-0.1405294358346497
0.07,0.609375,0,-0.1306490595663825
0.07,0.625,0,-0.11951046143445021
0.07,0.640625,0,-0.10722091222784044
0.07,0.65625,0,-0.0938987670235637
0.07,0.671875,0,-0.07967232536256276
0.07,0.6875,0,-0.064678595654997
0.07,0.703125,0,-0.04906197571435659
0.07,0.71875,0,-0.03297286212758297
0.07,0.734375,0,-0.01656620185372065
0.07,0.75,0,-3.104724235879815e-17
0.07,0.765625,0,0.01656620185372059
0.07,0.78125,0,0.03297286212758291
0.07,0.796875,0,0.04906197571435652
0.07,0.8125,0,0.06467859565499695
0.07,0.828125,0,0.0796723253625627
0.07,0.84375,0,0.09389876702356365
0.07,0.859375,0,0.1072209122278404
0.07,0.875,0,0.11951046143445015
0.07,0.890625,0,0.13064905956638243
0.07,0.90625,0,0.14052943583464964
0.07,0.921875,0,0.14905643681462516
0.07,0.9375,0,0.15614794282553904
0.07,0.953125,0,0.16173565878789467
0.07,0.96875,0,0.16576577194241823
0.07,0.984375,0,0.16819947009634778
0.07,1.0,0,0.16901331540606618
0.08,0.0,0,0.2644072708270514
0.08,0.015625,0,0.2631340775481607
0.08,0.03125,0,0.2593267592587625
0.08,0.046875,0,0.25302198251527563
0.08,0.0625,0,0.24428046576428142
0.08,0.078125,0,0.2331863945906911
0.08,0.09375,0,0.2198466109645425
0.08,0.109375,0,0.204389584294423
0.08,0.125,0,0.18696417419683606
0.08,0.140625,0,0.1677381968967196
0.08,0.15625,0,0.14689680906546204
0.08,0.171875,0,0.12464072466093988
0.08,0.1875,0,0.10118428194238191
0.08,0.203125,0,0.07675337927576383
0.08,0.21875,0,0.05158329960905511
0.08,0.234375,0,0.025916444568811276
0.08,0.25,0,1.619027589448179e-17
0.08,0.265625,0,-0.025916444568811245
0.08,0.28125,0,-0.051583299609055076
0.08,0.296875,0,-0.07675337927576378
0.08,0.3125,0,-0.10118428194238188
0.08,0.328125,0,-0.12464072466093985
0.08,0.34375,0,-0.14689680906546196
0.08,0.359375,0,-0.16773819689671957
0.08,0.375,0,-0.18696417419683603
0.08,0.390625,0,-0.204389584294423
0.08,0.40625,0,-0.21984661096454253
0.08,0.421875,0,-0.23318639459069107
0.08,0.4375,0,-0.24428046576428142
0.08,0.453125,0,-0.25302198251527563
0.08,0.46875,0,-0.2593267592587625
0.08,0.484375,0,-0.26313407754816065
0.08,0.5,0,-0.2644072708270514
0.08,0.515625,0,-0.2631340775481607
0.08,0.53125,0,-0.2593267592587625
0.08,0.546875,0,-0.25302198251527563
0.08,0.5625,0,-0.24428046576428147
0.08,0.578125,0,-0.2331863945906911
0.08,0.59375,0,-0.21984661096454255
0.08,0.609375,0,-0.20438958429442303
0.08,0.625,0,-0.18696417419683609
0.08,0.640625,0,-0.16773819689671968
0.08,0.65625,0,-0.14689680906546201
0.08,0.671875,0,-0.12464072466093991
0.08,0.6875,0,-0.10118428194238205
0.08,0.703125,0,-0.07675337927576385
0.08,0.71875,0,-0.0515832996090552
0.08,0.734375,0,-0.025916444568811193
0.08,0.75,0,-4.8570827683445374e-17
0.08,0.765625,0,0.025916444568811096
0.08,0.78125,0,0.051583299609055104
0.08,0.796875,0,0.07675337927576376
0.08,0.8125,0,0.10118428194238197
0.08,0.828125,0,0.12464072466093981
0.08,0.84375,0,0.14689680906546193
0.08,0.859375,0,0.16773819689671962
0.08,0.875,0,0.186964174196836
0.08,0.890625,0,0.2043895842944229
0.08,0.90625,0,0.2198466109645425
0.08,0.921875,0,0.23318639459069104
0.08,0.9375,0,0.24428046576428136
0.08,0.953125,0,0.25302198251527563
0.08,0.96875,0,0.2593267592587625
0.08,0.984375,0,0.2631340775481607
0.08,1.0,0,0.2644072708270514
0.09,0.0,0,0.3595230370825095
0.09,0.015625,0,0.3577918353913153
0.09,0.03125,0,0.35261490273639007
0.09,0.046875,0,0.3440420958092
0.09,0.0625,0,0.3321559754268269
0.09,0.078125,0,0.3170710114261673
0.09,0.09375,0,0.2989324802568278
0.09,0.109375,0,0.27791506588949877
0.09,0.125,0,0.25422117751382506
0.09,0.140625,0,0.2280790002272613
0.09,0.15625,0,0.19974029748784491
0.09,0.171875,0,0.1694779864944672
0.09,0.1875,0,0.1375835098450562
0.09,0.203125,0,0.10436402878504036
0.09,0.21875,0,0.07013946507664322
0.09,0.234375,0,0.03523941997742621
0.09,0.25,0,2.201443682914152e-17
0.09,0.265625,0,-0.03523941997742617
0.09,0.28125,0,-0.07013946507664318
0.09,0.296875,0,-0.1043640287850403
0.09,0.3125,0,-0.13758350984505616
0.09,0.328125,0,-0.16947798649446713
0.09,0.34375,0,-0.1997402974878448
0.09,0.359375,0,-0.22807900022726127
0.09,0.375,0,-0.254221177513825
0.09,0.390625,0,-0.27791506588949877
0.09,0.40625,0,-0.2989324802568278
0.09,0.421875,0,-0.3170710114261673
0.09,0.4375,0,-0.3321559754268269
0.09,0.453125,0,-0.3440420958092
