exact,signed,signedhat,absexact,squared
-0.0884493,-0.0888253,-0.0880722,0.0884493,15.8557
-0.000599863,-0.000592251,-0.000608412,0.000599863,0.00793842
-0.023355,-0.0194469,-0.0273888,0.023355,74.7023
0.00172443,0.00173759,0.00171118,0.00172443,0.776489
0.0246607,0.024677,0.0246441,0.0246607,1.42627
0.000469425,0.000494212,0.000444362,0.000469425,1.87503
0.00148217,0.00150602,0.00145749,0.00148217,4.77308
0.00550688,0.00556309,0.00545007,0.00550688,2.1259
0.0568784,0.0570965,0.0566595,0.0568784,19.8467
-0.0889276,-0.0891526,-0.0886932,0.0889276,23.8428
-0.00697448,-0.00697632,-0.00697277,0.00697448,6.76529
-0.00218333,-0.00216662,-0.00220119,0.00218333,0.834313
-0.00874254,-0.00875436,-0.00873063,0.00874254,0.568162
0.0395201,0.0395196,0.0395196,0.0395201,2.09525
-0.00137552,-0.00136336,-0.00138841,0.00137552,0.0212683
-0.350589,-0.350997,-0.350152,0.350589,35.6324
-0.00045687,-0.000446538,-0.000467437,0.00045687,1.48582
-0.000321547,-0.000304205,-0.000339508,0.000321547,3.00112
0.129802,0.147225,0.114164,0.129802,140.347
-0.00817241,-0.00847299,-0.00787143,0.00817241,6.48174
-0.0899801,-0.0663298,-0.112195,0.0899801,158.065
-0.0169533,-0.0170885,-0.0168176,0.0169533,1.60082
-0.0150455,-0.015146,-0.014944,0.0150455,2.02626
0.0506058,0.0493539,0.0518563,0.0506058,3.70078
0.038037,0.0383805,0.0376912,0.038037,19.3269
-0.133839,-0.132075,-0.13553,0.133839,41.8771
5.81387e-06,1.27369e-05,-1.22048e-06,0.0001,1.64193
-0.000800101,-0.000739839,-0.000860011,0.000800101,12.4802
-0.0296475,-0.0295411,-0.0297544,0.0296475,6.04251
0.102764,0.10386,0.10164,0.102764,39.9323
-0.00815738,-0.0081294,-0.00818537,0.00815738,0.22118
-0.0172941,-0.0172899,-0.0172993,0.0172941,7.32631
0.0661739,0.0769599,0.0547902,0.0661739,210.34
0.152855,0.153053,0.152655,0.152855,13.3419
0.000390068,0.000422063,0.00035772,0.000390068,7.80098
-0.00401399,-0.00397459,-0.00405451,0.00401399,13.2759
0.0183256,0.0182129,0.018437,0.0183256,0.804239
-0.00240317,-0.00237624,-0.00243063,0.00240317,0.0263153
0.000661516,0.000564772,0.000757687,0.000661516,5.18768
0.074561,0.074631,0.0744902,0.074561,10.2595
0.119196,0.118638,0.119752,0.119196,16.3641
0.0170023,0.0170438,0.016956,0.0170023,16.6024
0.0217649,0.0215262,0.0220016,0.0217649,1.87766
0.0129557,0.012924,0.0129862,0.0129557,10.315
-0.00295376,-0.00358723,-0.00231952,0.00295376,8.03771
0.0246054,0.0243626,0.0248463,0.0246054,0.0882508
-0.00200237,-0.00198818,-0.00201746,0.00200237,0.301982
0.207774,0.208155,0.207386,0.207774,18.9873
-0.0066745,-0.00666631,-0.00668261,0.0066745,1.22
0.0134729,0.0133848,0.0135604,0.0134729,1.2623
-0.0093629,-0.00937061,-0.00935542,0.0093629,0.281777
0.0228503,0.0228741,0.0228265,0.0228503,3.05665
-0.00405287,-0.00354489,-0.00454694,0.00405287,53.0375
0.109632,0.110031,0.1092,0.109632,41.5454
0.0302135,0.03025,0.030176,0.0302135,9.41716
0.127193,0.130257,0.124093,0.127193,96.2119
0.00646282,0.00653979,0.00638503,0.00646282,24.9828
0.0442016,0.0432018,0.0452019,0.0442016,8.2573
-0.0287525,-0.0291519,-0.0283531,0.0287525,0.171599
0.0390076,0.0364717,0.0415408,0.0390076,14.9017
-0.00171994,-0.00168625,-0.00175485,0.00171994,10.1702
-0.0183298,-0.0149416,-0.0216961,0.0183298,109.061
0.000486586,0.000860369,0.000112996,0.000486586,42.8662
-0.0630386,-0.0628284,-0.063248,0.0630386,13.1015
0.0234952,0.023301,0.0236874,0.0234952,2.92165
-0.00950089,-0.00946,-0.00954184,0.00950089,1.20373
0.000289129,0.000330552,0.000246445,0.000289129,7.87406
0.0236688,0.0239908,0.0233426,0.0236688,16.0351
-0.00974146,-0.00969833,-0.00978555,0.00974146,6.93011
-0.00689784,-0.00687719,-0.0069196,0.00689784,1.34335
0.0558479,0.0696013,0.0446534,0.0558479,161.853
0.00205471,0.00207789,0.00203158,0.00205471,0.30456
0.0890098,0.0892157,0.0888027,0.0890098,14.796
0.0800924,0.0797759,0.0804069,0.0800924,13.3196
-0.186586,-0.185711,-0.187453,0.186586,27.3108
0.0624996,0.0624249,0.0625726,0.0624996,12.1753
