s,nu_eq,nu_path
5.625000000000000000e-01,7.497479724193677475e-01,6.262943640263869405e-01
5.649999999999999467e-01,7.326208447942277324e-01,6.739430053955305366e-01
5.675000000000000044e-01,7.152811763779406418e-01,7.252167680410823714e-01
5.700000000000000622e-01,6.977678547199833714e-01,7.296718868934300994e-01
5.725000000000000089e-01,6.801190640993330927e-01,6.864398707071005523e-01
5.749999999999999556e-01,6.623721518570895306e-01,6.457692896769101631e-01
5.775000000000000133e-01,6.445635040725126164e-01,6.075083824315892223e-01
5.800000000000000711e-01,6.267284310447198692e-01,5.715143792441670367e-01
5.825000000000000178e-01,6.089010629448603495e-01,5.514891412721746322e-01
5.849999999999999645e-01,5.911142559070117208e-01,5.458605226990956849e-01
5.875000000000000222e-01,5.733995087313268346e-01,5.402893510359739748e-01
5.900000000000000799e-01,5.557868902809687262e-01,5.347750399671052923e-01
5.925000000000000266e-01,5.383049775660488923e-01,5.293170091608516703e-01
5.949999999999999734e-01,5.209808044238640745e-01,5.391697290088894867e-01
5.975000000000000311e-01,5.038398206258822842e-01,5.651973058980174214e-01
6.000000000000000888e-01,4.869058611687149818e-01,5.924813234259118655e-01
6.025000000000000355e-01,4.702011254392408079e-01,6.210824343027898653e-01
6.049999999999999822e-01,4.537461658834849310e-01,6.510642191537627799e-01
6.074999999999999289e-01,4.375598857550462850e-01,6.709662204178756806e-01
6.099999999999999867e-01,4.216595454720019065e-01,6.797977622012060239e-01
6.125000000000000444e-01,4.060607770713857700e-01,6.887455484807527561e-01
6.149999999999999911e-01,3.907776062175051246e-01,6.978111093158451128e-01
6.174999999999999378e-01,3.758224811944688160e-01,7.069959949051027870e-01
6.199999999999999956e-01,3.612063082941296965e-01,7.176765755575739147e-01
6.225000000000000533e-01,3.469384929980082188e-01,7.299167549319574011e-01
6.250000000000000000e-01,3.330269863453077517e-01,7.423656940683553973e-01
6.274999999999999467e-01,3.194783358785676097e-01,7.550269534242501912e-01
6.300000000000000044e-01,3.062977405633658945e-01,7.679041541817460681e-01
6.325000000000000622e-01,2.934891090883874343e-01,7.896077209397730501e-01
6.350000000000000089e-01,2.810551209666159456e-01,8.208722293389748570e-01
6.374999999999999556e-01,2.689972898769957821e-01,8.533746555795581612e-01
6.400000000000000133e-01,2.573160287080239472e-01,8.871640150038555550e-01
6.425000000000000711e-01,2.460107157899915908e-01,9.222912637160988192e-01
6.450000000000000178e-01,2.350797618304328873e-01,9.278996026169430422e-01
6.474999999999999645e-01,2.245206770973485477e-01,9.034468319819221049e-01
6.500000000000000222e-01,2.143301384263810450e-01,8.796384607949033763e-01
6.525000000000000799e-01,2.045040556609882265e-01,8.564575073136233563e-01
6.550000000000000266e-01,1.950376371682800980e-01,8.338874373126046180e-01
6.574999999999999734e-01,1.859254541072151157e-01,8.154858502242835483e-01
6.600000000000000311e-01,1.771615031598964274e-01,8.010005543410980700e-01
6.625000000000000888e-01,1.687392674704119855e-01,7.867725575842748897e-01
6.650000000000000355e-01,1.606517755687778271e-01,7.727972896059966956e-01
6.674999999999999822e-01,1.528916580897357602e-01,7.590702612405292316e-01
6.699999999999999289e-01,1.454512021272606759e-01,7.491481103820665233e-01
6.724999999999999867e-01,1.383224030953546235e-01,7.428869415368134499e-01
6.750000000000000444e-01,1.314970139939845573e-01,7.366781017767779494e-01
6.774999999999999911e-01,1.249665920056277912e-01,7.305211537502088737e-01
6.799999999999999378e-01,1.187225423727777118e-01,7.244156637606178339e-01
6.824999999999999956e-01,1.127561595298391811e-01,7.213820809914983645e-01
6.850000000000000533e-01,1.070586654840376128e-01,7.213820809914983645e-01
6.875000000000000000e-01,1.016212454592864134e-01,7.213820809914983645e-01
6.899999999999999467e-01,9.643508083439196465e-02,7.213820809914983645e-01
6.925000000000000044e-01,9.149137942253139644e-02,7.213820809914983645e-01
6.950000000000000622e-01,8.678140315265069071e-02,7.356690938201023711e-01
6.975000000000000089e-01,8.229649322539432654e-02,7.650975887052167135e-01
6.999999999999999556e-01,7.802809282638074884e-02,7.957032926351017554e-01
7.025000000000000133e-01,7.396776748825258097e-02,8.275332967416871854e-01
7.050000000000000711e-01,7.010722319995055241e-02,8.606365759129893656e-01
7.075000000000000178e-01,6.643832236724651896e-02,8.642557568657165401e-01
7.099999999999999645e-01,6.295309773280120813e-02,8.380171820619100043e-01
7.125000000000000222e-01,5.964376436696341988e-02,8.125752034071769270e-01
7.150000000000000799e-01,5.650272984235447937e-02,7.879056364544035906e-01
7.175000000000000266e-01,5.352260270603551029e-02,7.639850309898548186e-01
7.199999999999999734e-01,5.069619936288480982e-02,7.567380662579145101e-01
7.225000000000000311e-01,4.801654948278655938e-02,7.656960412910317482e-01
7.250000000000000888e-01,4.547690004247309514e-02,7.747600573973710825e-01
7.275000000000000355e-01,4.307071811044770743e-02,7.839313698504918326e-01
7.299999999999999822e-01,4.079169248045284163e-02,7.932112487834015457e-01
7.324999999999999289e-01,3.863373425550960943e-02,7.966933427602250761e-01
7.349999999999999867e-01,3.659097648073211806e-02,7.943008270423662642e-01
7.375000000000000444e-01,3.465777291898267803e-02,7.919154961861760711e-01
7.399999999999999911e-01,3.282869605905110871e-02,7.895373286151040615e-01
